Date,Open,High,Low,Close,Volume,Return,Volatility,MA50,MA200,Range,Volume_Surge,RSI,MACD,MACD_Signal,Bearish,Gap,VaR_95,BB_Upper,BB_Lower,ATR
2003-07-14 00:00:00+05:30,3704.6298828125,3726.56005859375,3704.6298828125,3720.75,21200,0.01210197051247519,0.007364011249398039,3305.8627880859376,3190.6168469238282,21.93017578125,inf,80.40105091323616,106.22750426883158,107.31278079699109,False,28.369873046875,-0.014214614121712871,3748.6065698786583,3390.640378363529,49.06693504250319
2003-07-15 00:00:00+05:30,3719.169921875,3733.8798828125,3657.179931640625,3686.340087890625,22800,-0.009248111834811557,0.008293333388930879,3319.72958984375,3193.926796875,76.699951171875,0.07547169811320753,73.1492196558803,103.42380677711753,106.53498599301638,True,-1.580078125,-0.014214614121712871,3756.092577821686,3408.6853762798764,51.040721908886894
2003-07-16 00:00:00+05:30,3702.139892578125,3729.02001953125,3662.699951171875,3721.64990234375,18400,0.009578555860625837,0.008509196015459285,3334.5477880859376,3197.4286462402342,66.320068359375,-0.19298245614035092,75.58296659017954,102.8652961428088,105.80104802297487,False,15.7998046875,-0.014214614121712871,3765.857778178136,3427.989170064052,52.132103798207474
2003-07-17 00:00:00+05:30,3728.840087890625,3750.0,3660.340087890625,3668.909912109375,22000,-0.014171131519158053,0.00967008698655143,3348.693984375,3200.6619458007813,89.659912109375,0.19565217391304346,65.96542325190782,97.04828379076116,104.05049517653214,True,7.190185546875,-0.014214614121712871,3765.3789004484415,3449.899029239058,54.81266153471944
2003-07-18 00:00:00+05:30,3651.389892578125,3684.22998046875,3625.72998046875,3647.580078125,22000,-0.005813670680213545,0.009739428785409114,3362.6455859375,3203.7944458007814,58.5,0.0,62.501541480532175,89.68330691458277,101.17705752414227,True,-17.52001953125,-0.014214614121712871,3765.1263392215747,3464.9595982784253,55.07604285366805
2003-07-21 00:00:00+05:30,3655.260009765625,3664.639892578125,3564.409912109375,3569.580078125,19400,-0.02138404046775444,0.012001430330200668,3375.1815869140623,3206.568896484375,100.22998046875,-0.11818181818181817,51.79138036676291,76.66877167638495,96.27540035459081,True,7.679931640625,-0.014383889532364053,3754.116343782234,3486.7896132490164,58.301324111888185
2003-07-22 00:00:00+05:30,3557.1298828125,3582.080078125,3534.06005859375,3554.1298828125,22400,-0.0043282949182682495,0.011849762071219303,3387.0517822265624,3209.1532458496094,48.02001953125,0.15463917525773185,49.96498380444935,64.36598607535961,89.89351749874459,True,-12.4501953125,-0.014383889532364053,3737.0123768074773,3514.561573387835,57.566945213271175
2003-07-23 00:00:00+05:30,3571.75,3596.590087890625,3551.97998046875,3577.889892578125,31800,0.006685183307601372,0.012162471393875815,3398.73078125,3212.0858947753904,44.610107421875,0.4196428571428572,52.72592981832484,55.88892137124003,83.09259827324368,False,17.6201171875,-0.014383889532364053,3730.485269138389,3527.150668361611,56.64145679960002
2003-07-24 00:00:00+05:30,3595.60009765625,3677.239990234375,3572.639892578125,3668.070068359375,44400,0.025204849363396287,0.013802798596261899,3411.832783203125,3215.6279455566405,104.60009765625,0.39622641509433953,61.42608068836823,55.80429585203001,77.63493778900094,False,17.710205078125,-0.014383889532364053,3730.9879435985395,3538.215010503023,60.06707400364645
2003-07-25 00:00:00+05:30,3685.31005859375,3737.760009765625,3661.68994140625,3726.4599609375,25800,0.01591842344610428,0.014706708028207624,3425.230380859375,3219.569945068359,76.070068359375,-0.41891891891891897,65.81314696397101,59.759930584213635,74.0599363480435,False,17.239990234375,-0.014383889532364053,3743.2162495544494,3540.3266947814877,61.21014502905563
